Channel,Vehicle,age_min,age_max,gender,concat,a,b,c
Digital,overall,7,12,M,DigitaloverallM712,-4.485990025,0.898516671,0.976
Digital,overall,13,18,M,DigitaloverallM1318,-4.485990025,0.898516671,0.976
Digital,overall,19,24,M,DigitaloverallM1924,-4.446794045,0.902405777,0.944
Digital,overall,25,29,M,DigitaloverallM2529,-4.424073088,0.901861677,0.952
Digital,overall,30,34,M,DigitaloverallM3034,-4.424073088,0.901861677,0.952
Digital,overall,35,39,M,DigitaloverallM3539,-4.307250804,0.863878802,0.952
Digital,overall,40,44,M,DigitaloverallM4044,-4.41929942,0.895470742,0.984
Digital,overall,45,49,M,DigitaloverallM4549,-4.270426657,0.864335354,0.92
Digital,overall,55,59,M,DigitaloverallM5559,-4.433407625,0.900962171,0.96
Digital,overall,65,69,M,DigitaloverallM6569,-4.456536779,0.84438853,0.936
Digital,overall,7,12,F,DigitaloverallF712,-4.462026919,0.827753232,0.952
Digital,overall,13,18,F,DigitaloverallF1318,-4.462026919,0.827753232,0.952
Digital,overall,19,24,F,DigitaloverallF1924,-4.412054987,0.806675823,0.944
Digital,overall,25,29,F,DigitaloverallF2529,-4.27515235,0.786951773,0.904
Digital,overall,30,34,F,DigitaloverallF3034,-4.27515235,0.786951773,0.904
Digital,overall,35,39,F,DigitaloverallF3539,-4.555789709,0.825374972,0.832
Digital,overall,40,44,F,DigitaloverallF4044,-4.565945535,0.862332764,0.816
Digital,overall,45,49,F,DigitaloverallF4549,-4.521043484,0.888791349,0.992
Digital,overall,55,59,F,DigitaloverallF5559,-4.570877465,0.865579536,0.816
Digital,overall,65,69,F,DigitaloverallF6569,-4.454169215,0.829453982,0.952
Youtube,Bumper AD,7,12,M,YoutubeBumper ADM712,-3.453028197,0.55595718,0.904166667
Youtube,Bumper AD,13,18,M,YoutubeBumper ADM1318,-3.453028197,0.55595718,0.904166667
Youtube,Bumper AD,19,24,M,YoutubeBumper ADM1924,-3.453028197,0.55595718,0.904166667
Youtube,Bumper AD,25,29,M,YoutubeBumper ADM2529,-4.354865202,0.788729022,0.916184971
Youtube,Bumper AD,30,34,M,YoutubeBumper ADM3034,-4.354865202,0.788729022,0.916184971
Youtube,Bumper AD,35,39,M,YoutubeBumper ADM3539,-4.179206883,0.771601103,0.91521197
Youtube,Bumper AD,40,44,M,YoutubeBumper ADM4044,-4.179206883,0.771601103,0.91521197
Youtube,Bumper AD,45,49,M,YoutubeBumper ADM4549,-3.689283121,0.662724451,0.908888889
Youtube,Bumper AD,55,59,M,YoutubeBumper ADM5559,-3.796394367,0.656129929,0.889281537
Youtube,Bumper AD,65,69,M,YoutubeBumper ADM6569,-3.69693677,0.607723073,0.779511649
Youtube,Bumper AD,7,12,F,YoutubeBumper ADF712,-3.657167744,0.621069169,0.881278539
Youtube,Bumper AD,13,18,F,YoutubeBumper ADF1318,-3.657167744,0.621069169,0.881278539
Youtube,Bumper AD,19,24,F,YoutubeBumper ADF1924,-3.657167744,0.621069169,0.881278539
Youtube,Bumper AD,25,29,F,YoutubeBumper ADF2529,-4.955504582,0.900819116,0.94
Youtube,Bumper AD,30,34,F,YoutubeBumper ADF3034,-4.955504582,0.900819116,0.94
Youtube,Bumper AD,35,39,F,YoutubeBumper ADF3539,-4.640850457,0.854577425,0.940414508
Youtube,Bumper AD,40,44,F,YoutubeBumper ADF4044,-4.640850457,0.854577425,0.940414508
Youtube,Bumper AD,45,49,F,YoutubeBumper ADF4549,-3.872827658,0.656364469,0.920091324
Youtube,Bumper AD,55,59,F,YoutubeBumper ADF5559,-3.729158464,0.635703986,0.815045662
Youtube,Bumper AD,65,69,F,YoutubeBumper ADF6569,-3.335939844,0.561741381,0.613351893
Youtube,Bumper AD,50,54,M,YoutubeBumper ADM5054,-3.796394367,0.656129929,0.889281537
Youtube,Bumper AD,60,64,M,YoutubeBumper ADM6064,-3.796394367,0.656129929,0.889281537
Youtube,Bumper AD,50,54,F,YoutubeBumper ADF5054,-3.729158464,0.635703986,0.815045662
Youtube,Bumper AD,60,64,F,YoutubeBumper ADF6064,-3.335939844,0.561741381,0.613351893
Youtube,overall,7,12,M,YoutubeoverallM712,-3.549098238,0.572955901,0.873541667
Youtube,overall,13,18,M,YoutubeoverallM1318,-3.549098238,0.572955901,0.873541667
Youtube,overall,19,24,M,YoutubeoverallM1924,-3.549098238,0.572955901,0.873541667
Youtube,overall,25,29,M,YoutubeoverallM2529,-4.39662228,0.750220477,0.919046243
Youtube,overall,30,34,M,YoutubeoverallM3034,-4.39662228,0.750220477,0.919046243
Youtube,overall,35,39,M,YoutubeoverallM3539,-4.572441304,0.794873384,0.913802993
Youtube,overall,40,44,M,YoutubeoverallM4044,-4.572441304,0.794873384,0.913802993
Youtube,overall,45,49,M,YoutubeoverallM4549,-3.948480704,0.649499766,0.904722222
Youtube,overall,55,59,M,YoutubeoverallM5559,-3.969837408,0.635285746,0.884820384
Youtube,overall,65,69,M,YoutubeoverallM6569,-3.93414868,0.610267129,0.761127912
Youtube,overall,7,12,F,YoutubeoverallF712,-3.953369609,0.656406386,0.872819635
Youtube,overall,13,18,F,YoutubeoverallF1318,-3.953369609,0.656406386,0.872819635
Youtube,overall,19,24,F,YoutubeoverallF1924,-3.953369609,0.656406386,0.872819635
Youtube,overall,25,29,F,YoutubeoverallF2529,-5.204656314,0.903306439,0.9275
Youtube,overall,30,34,F,YoutubeoverallF3034,-5.204656314,0.903306439,0.9275
Youtube,overall,35,39,F,YoutubeoverallF3539,-4.782471332,0.834573053,0.940103627
Youtube,overall,40,44,F,YoutubeoverallF4044,-4.782471332,0.834573053,0.940103627
Youtube,overall,45,49,F,YoutubeoverallF4549,-4.3458702,0.700745069,0.890022831
Youtube,overall,55,59,F,YoutubeoverallF5559,-4.157541703,0.657244394,0.831261416
Youtube,overall,65,69,F,YoutubeoverallF6569,-3.786104765,0.580081637,0.640337973
Youtube,overall,50,54,M,YoutubeoverallM5054,-3.969837408,0.635285746,0.884820384
Youtube,overall,60,64,M,YoutubeoverallM6064,-3.93414868,0.610267129,0.761127912
Youtube,overall,50,54,F,YoutubeoverallF5054,-4.157541703,0.657244394,0.831261416
Youtube,overall,60,64,F,YoutubeoverallF6064,-3.786104765,0.580081637,0.640337973
Youtube,Trueview_Discovery,7,12,M,YoutubeTrueview_DiscoveryM712,-3.095515394,0.412210722,1
Youtube,Trueview_Discovery,13,18,M,YoutubeTrueview_DiscoveryM1318,-3.095515394,0.412210722,0.9
Youtube,Trueview_Discovery,19,24,M,YoutubeTrueview_DiscoveryM1924,-3.095515394,0.412210722,0.9
Youtube,Trueview_Discovery,25,29,M,YoutubeTrueview_DiscoveryM2529,-3.695308446,0.491744534,0.92
Youtube,Trueview_Discovery,30,34,M,YoutubeTrueview_DiscoveryM3034,-3.695308446,0.491744534,0.92
Youtube,Trueview_Discovery,35,39,M,YoutubeTrueview_DiscoveryM3539,-3.742473707,0.541305351,0.92
Youtube,Trueview_Discovery,40,44,M,YoutubeTrueview_DiscoveryM4044,-3.742473707,0.541305351,0.92
Youtube,Trueview_Discovery,45,49,M,YoutubeTrueview_DiscoveryM4549,-3.886222805,0.521926964,0.91
Youtube,Trueview_Discovery,55,59,M,YoutubeTrueview_DiscoveryM5559,-3.876643084,0.499542354,0.89
Youtube,Trueview_Discovery,65,69,M,YoutubeTrueview_DiscoveryM6569,-3.952184329,0.480151867,0.78
Youtube,Trueview_Discovery,7,12,F,YoutubeTrueview_DiscoveryF712,-3.12934108,0.424894348,0.88
Youtube,Trueview_Discovery,13,18,F,YoutubeTrueview_DiscoveryF1318,-3.12934108,0.424894348,0.88
Youtube,Trueview_Discovery,19,24,F,YoutubeTrueview_DiscoveryF1924,-3.12934108,0.424894348,0.88
Youtube,Trueview_Discovery,25,29,F,YoutubeTrueview_DiscoveryF2529,-4.025576705,0.571849875,0.92
Youtube,Trueview_Discovery,30,34,F,YoutubeTrueview_DiscoveryF3034,-4.025576705,0.571849875,0.92
Youtube,Trueview_Discovery,35,39,F,YoutubeTrueview_DiscoveryF3539,-3.824383766,0.561936842,0.94
